trial_index,rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,mean,reward_max,reward_min
0,-141.8,-500.0,-500.0,-115.0,-111.2,-129.4,-500.0,-132.6,-500.0,-500.0,-313.0,-111.2,-500.0
1,-500.0,-147.2,-100.8,-500.0,-500.0,-500.0,-248.8,-500.0,-500.0,-413.2,-391.0,-100.8,-500.0
2,-104.4,-500.0,-106.0,-104.8,-98.6,-91.6,-138.6,-139.8,-102.4,-136.6,-152.28,-91.6,-500.0
3,-94.6,-102.2,-131.4,-99.6,-88.8,-84.6,-110.2,-138.0,-102.4,-157.0,-110.88,-84.6,-157.0
4,-500.0,-154.8,-92.4,-111.2,-103.2,-95.6,-107.2,-87.8,-79.8,-282.8,-161.48,-79.8,-500.0
5,-114.0,-131.0,-87.4,-102.6,-102.6,-111.4,-123.6,-108.4,-114.6,-104.4,-110.0,-87.4,-131.0
6,-150.8,-111.6,-110.8,-94.4,-92.8,-101.4,-131.8,-193.6,-107.2,-108.0,-120.23999999999998,-92.8,-193.6
7,-114.2,-150.0,-102.6,-106.4,-138.0,-85.2,-115.0,-89.4,-125.8,-189.4,-121.6,-85.2,-189.4
8,-108.6,-107.0,-139.8,-178.4,-116.0,-93.4,-97.0,-126.6,-95.2,-110.8,-117.28,-93.4,-178.4
9,-125.4,-108.2,-91.2,-120.4,-112.4,-110.4,-175.6,-135.6,-79.2,-159.0,-121.74000000000001,-79.2,-175.6
10,-117.8,-101.8,-111.2,-106.6,-110.2,-99.2,-102.6,-130.6,-108.8,-132.6,-112.13999999999999,-99.2,-132.6
11,-125.0,-132.6,-78.6,-139.8,-110.6,-95.4,-117.0,-119.0,-94.8,-141.6,-115.43999999999998,-78.6,-141.6
12,-109.8,-113.4,-137.4,-89.2,-500.0,-114.0,-110.2,-121.0,-125.0,-143.0,-156.3,-89.2,-500.0
13,-155.4,-111.2,-123.2,-100.6,-204.2,-152.2,-139.8,-115.2,-99.6,-103.6,-130.49999999999997,-99.6,-204.2
14,-123.2,-102.4,-97.0,-131.2,-104.4,-128.0,-127.0,-132.0,-93.8,-119.4,-115.84,-93.8,-132.0
15,-135.6,-111.2,-118.2,-106.0,-149.6,-109.6,-102.6,-500.0,-117.2,-147.2,-159.72,-102.6,-500.0
16,-125.0,-107.2,-105.6,-119.8,-190.8,-95.0,-128.0,-160.6,-128.4,-110.0,-127.04,-95.0,-190.8
17,-121.4,-116.4,-88.4,-98.0,-123.4,-96.0,-149.6,-100.0,-98.4,-115.8,-110.74000000000001,-88.4,-149.6
18,-109.4,-100.6,-96.6,-172.8,-99.2,-96.2,-114.0,-126.2,-109.2,-103.4,-112.76000000000002,-96.2,-172.8
19,-103.2,-131.4,-112.8,-87.0,-100.4,-100.2,-114.0,-91.6,-123.4,-118.4,-108.24000000000001,-87.0,-131.4
20,-181.2,-121.0,-111.8,-100.6,-87.0,-124.6,-128.0,-103.0,-127.0,-87.4,-117.16,-87.0,-181.2
21,-94.4,-118.0,-122.4,-81.2,-142.6,-100.8,-128.2,-100.8,-107.0,-107.8,-110.32000000000001,-81.2,-142.6
