trial_index,rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,mean,reward_max,reward_min
0,-500.0,-500.0,-130.8,-500.0,-500.0,-103.4,-500.0,-115.2,-101.8,-500.0,-345.12,-101.8,-500.0
1,-85.6,-500.0,-500.0,-337.8,-116.6,-500.0,-109.4,-500.0,-500.0,-109.4,-325.88,-85.6,-500.0
2,-500.0,-104.0,-141.6,-500.0,-500.0,-205.2,-500.0,-96.8,-97.6,-500.0,-314.52,-96.8,-500.0
3,-174.4,-500.0,-500.0,-100.8,-89.6,-500.0,-118.4,-500.0,-500.0,-175.4,-315.86,-89.6,-500.0
4,-500.0,-111.6,-112.0,-500.0,-500.0,-123.2,-500.0,-301.8,-127.0,-500.0,-327.56,-111.6,-500.0
5,-101.2,-500.0,-500.0,-98.0,-112.6,-500.0,-111.8,-500.0,-500.0,-111.8,-303.5400000000001,-98.0,-500.0
6,-500.0,-104.4,-104.0,-500.0,-500.0,-93.6,-500.0,-121.2,-127.2,-500.0,-305.04,-93.6,-500.0
7,-110.8,-500.0,-500.0,-173.6,-500.0,-500.0,-175.2,-500.0,-500.0,-89.6,-354.92,-89.6,-500.0
8,-500.0,-93.4,-103.8,-500.0,-500.0,-188.6,-500.0,-230.0,-141.4,-500.0,-325.71999999999997,-93.4,-500.0
9,-120.6,-500.0,-500.0,-134.6,-104.2,-500.0,-146.2,-500.0,-500.0,-132.4,-313.80000000000007,-104.2,-500.0
10,-116.6,-112.6,-115.8,-133.4,-102.8,-118.6,-85.8,-88.6,-99.2,-151.4,-112.47999999999999,-85.8,-151.4
11,-160.0,-91.2,-109.0,-108.6,-102.8,-93.2,-113.0,-99.8,-156.2,-144.4,-117.82000000000001,-91.2,-160.0
12,-89.8,-124.0,-96.4,-92.4,-112.2,-110.4,-122.6,-189.4,-115.2,-125.2,-117.76000000000002,-89.8,-189.4
13,-86.4,-102.8,-102.8,-109.8,-90.4,-175.2,-104.4,-118.4,-107.2,-160.2,-115.76000000000002,-86.4,-175.2
14,-113.8,-98.8,-83.2,-88.0,-109.2,-121.4,-102.6,-115.0,-106.0,-87.4,-102.54,-83.2,-121.4
15,-99.8,-122.6,-112.2,-175.6,-93.8,-96.4,-141.4,-85.6,-120.4,-102.8,-115.05999999999999,-85.6,-175.6
16,-82.2,-102.0,-114.4,-101.4,-106.8,-85.6,-114.8,-134.8,-87.6,-101.0,-103.05999999999999,-82.2,-134.8
17,-151.8,-101.6,-87.2,-206.8,-94.2,-118.2,-84.0,-98.0,-94.2,-99.6,-113.55999999999999,-84.0,-206.8
18,-99.2,-99.6,-123.4,-105.4,-83.4,-110.6,-107.2,-99.2,-113.4,-119.6,-106.1,-83.4,-123.4
19,-138.8,-96.4,-107.8,-101.6,-101.6,-111.4,-95.8,-106.6,-80.6,-113.4,-105.4,-80.6,-138.8
20,-129.2,-95.6,-126.2,-117.6,-151.8,-109.6,-95.2,-91.2,-149.8,-168.8,-123.5,-91.2,-168.8
21,-93.2,-175.6,-101.6,-122.2,-104.0,-108.2,-111.8,-112.2,-89.4,-93.8,-111.2,-89.4,-175.6
22,-91.8,-150.0,-122.2,-111.6,-95.8,-175.6,-95.2,-96.8,-117.4,-112.0,-116.84,-91.8,-175.6
23,-91.4,-112.0,-107.8,-125.6,-85.0,-142.0,-143.0,-143.8,-194.6,-129.4,-127.46,-85.0,-194.6
24,-105.0,-114.0,-116.6,-114.0,-89.0,-90.2,-194.6,-110.6,-119.4,-92.0,-114.54,-89.0,-194.6
25,-144.0,-105.6,-129.6,-112.0,-111.2,-114.6,-102.4,-114.0,-82.8,-93.0,-110.92,-82.8,-144.0
26,-123.2,-104.8,-324.8,-97.4,-97.6,-103.2,-100.8,-96.2,-97.0,-127.0,-127.2,-96.2,-324.8
27,-109.0,-82.0,-109.4,-105.2,-93.8,-103.8,-114.0,-97.6,-94.0,-119.8,-102.85999999999999,-82.0,-119.8
28,-500.0,-90.4,-119.2,-96.2,-163.8,-243.6,-105.6,-103.2,-96.0,-136.0,-165.4,-90.4,-500.0
29,-101.6,-205.2,-81.8,-86.8,-125.4,-100.6,-110.2,-99.2,-125.4,-89.0,-112.52000000000001,-81.8,-205.2
30,-110.2,-96.2,-82.8,-130.0,-96.8,-102.2,-94.4,-106.8,-125.8,-86.4,-103.16000000000001,-82.8,-130.0
31,-103.8,-97.4,-80.8,-90.0,-115.0,-110.2,-80.2,-103.2,-90.8,-92.4,-96.38,-80.2,-115.0
32,-105.4,-97.4,-129.0,-105.2,-101.2,-104.6,-88.8,-104.6,-98.8,-113.4,-104.84,-88.8,-129.0
33,-89.0,-119.2,-121.2,-128.0,-98.2,-104.6,-122.6,-100.4,-93.8,-97.2,-107.42,-89.0,-128.0
34,-128.8,-137.4,-93.8,-97.8,-186.8,-130.4,-102.8,-163.8,-109.4,-105.4,-125.64000000000003,-93.8,-186.8
35,-102.0,-111.4,-94.8,-104.6,-129.0,-109.8,-102.2,-107.0,-114.0,-119.0,-109.38,-94.8,-129.0
36,-103.4,-89.4,-94.2,-102.0,-114.4,-105.6,-108.4,-98.2,-116.4,-94.8,-102.67999999999999,-89.4,-116.4
37,-124.6,-114.8,-150.8,-100.2,-101.0,-117.0,-175.6,-92.4,-102.8,-111.6,-119.08,-92.4,-175.6
